Type;Ticket;Symbol;Lots;Buy/sell;Open price;Close price;Open time;Close time;Profit;Swap;Commission;T/P;S/L;Pips;Result;Trade duration (hours);Magic number;Order comment;MAE;MFE;FX Blue Live account
Closed position;69511390;EURGBP;0.18;Sell;0.92045;0.92044;2009/10/08 23:00:06;2009/10/09 00:12:40;0.29;0.12;0;0.91545;0.92474;0.1;Win;1.21;77777773;;-0.00015;0.00052;example
Closed position;69521117;EURCHF;0.16;Sell;1.51784;1.5184;2009/10/09 01:03:53;2009/10/09 06:04:09;-8.69;0;0;1.51184;1.52221;-5.6;Loss;5;33333337;;-0.00065;0.0003;example
Closed position;69516715;USDCHF;0.12;Sell;1.02627;1.03267;2009/10/09 00:05:50;2009/10/09 15:04:44;-74.37;0;0;1.02027;1.03267;-64.0;Loss;14.98;33333337;;-0.00657;-0.00011;example
Closed position;69871266;EURGBP;0.16;Sell;0.93558;0.93498;2009/10/13 00:22:33;2009/10/13 01:18:24;15.19;0;0;0.92958;0.94196;6.0;Win;0.93;33333337;;-0.00004;0.00095;example
Closed position;69873385;EURUSD;0.16;Sell;1.47819;1.47818;2009/10/13 00:54:34;2009/10/13 02:40:35;0.16;0;0;1.47219;1.48135;0.1;Win;1.77;33333337;;-0.0018;0.00047;example
Closed position;69874825;EURCHF;0.16;Sell;1.51714;1.51712;2009/10/13 01:18:21;2009/10/13 03:18:23;0.31;0;0;1.51114;1.52146;0.2;Win;2;33333337;;-0.00029;0.00045;example
Closed position;70264070;EURGBP;0.16;Buy;0.93328;0.93329;2009/10/14 23:42:16;2009/10/15 00:48:34;0.26;-0.54;0;0.93828;0.92903;0.1;Loss;1.1;77777773;;-0.00054;0.00005;example
Closed position;70270853;EURCHF;0.16;Sell;1.51485;1.51473;2009/10/15 00:44:02;2009/10/15 01:50:02;1.89;0;0;1.50885;1.51922;1.2;Win;1.1;33333337;;-0.0005;0.00028;example
Closed position;70267041;EURUSD;0.16;Sell;1.49357;1.49352;2009/10/15 00:01:56;2009/10/15 09:27:46;0.8;0;0;1.48757;1.50022;0.5;Win;9.43;33333337;;-0.00308;0.00122;example
Closed position;70486536;EURGBP;0.16;Sell;0.91857;0.91856;2009/10/15 23:00:05;2009/10/16 00:28:11;0.26;0.13;0;0.91357;0.93078;0.1;Win;1.47;77777773;;-0.0002;0.00143;example
Closed position;70491689;EURGBP;0.16;Sell;0.91859;0.91796;2009/10/16 00:00:45;2009/10/16 00:55:01;16.42;0;0;0.91259;0.92493;6.3;Win;0.9;33333337;;0;0;example
Closed position;70492267;EURCHF;0.16;Sell;1.51674;1.51651;2009/10/16 00:03:47;2009/10/16 01:55:03;3.62;0;0;1.51074;1.52113;2.3;Win;1.85;33333337;;-0.00026;0.00054;example
Closed position;70498497;EURGBP;0.16;Buy;0.91752;0.91568;2009/10/16 00:56:32;2009/10/16 03:56:39;-48.07;0;0;0.92252;0.91324;-18.4;Loss;3;77777773;;-0.00262;-0.00004;example
Closed position;70498094;EURGBP;0.16;Buy;0.91767;0.91132;2009/10/16 00:55:11;2009/10/16 10:39:55;-166.22;0;0;0.92367;0.91132;-63.5;Loss;9.75;33333337;;-0.00811;-0.00004;example
Closed position;70880362;EURUSD;0.16;Sell;1.49727;1.49625;2009/10/19 23:02:08;2009/10/19 23:10:39;16.32;0;0;1.49227;1.5015;10.2;Win;0.14;77777773;;-0.00009;0.00168;example
Closed position;70880561;USDCHF;0.24;Buy;1.01059;1.01159;2009/10/19 23:02:14;2009/10/19 23:12:41;23.73;0;0;1.01559;1.00719;10.0;Win;0.17;77777773;;0;0;example
Closed position;70880961;EURGBP;0.16;Buy;0.91184;0.91186;2009/10/19 23:02:40;2009/10/20 00:24:29;0.53;-0.16;0;0.91684;0.90752;0.2;Win;1.36;77777773;;-0.00094;0.00065;example
Closed position;70893268;EURGBP;0.16;Sell;0.91213;0.91211;2009/10/20 00:25:40;2009/10/20 01:27:41;0.53;0;0;0.90713;0.919;0.2;Win;1.03;77777773;;-0.00042;0.00059;example
Closed position;70899286;EURCHF;0.16;Sell;1.51364;1.51362;2009/10/20 01:12:33;2009/10/20 03:14:54;0.32;0;0;1.50764;1.51794;0.2;Win;2.04;33333337;;-0.00039;0.00022;example
Closed position;71307544;EURCHF;0.16;Sell;1.51033;1.51027;2009/10/22 01:06:17;2009/10/22 03:33:09;0.95;0;0;1.50433;1.51464;0.6;Win;2.45;33333337;;-0.00056;0.00027;example
Closed position;71491845;EURGBP;0.16;Sell;0.90476;0.9034;2009/10/23 01:16:23;2009/10/23 02:04:44;36.25;0;0;0.89976;0.90901;13.6;Win;0.81;77777773;;-0.00004;0.00261;example
Closed position;71486197;EURCHF;0.16;Sell;1.51022;1.51201;2009/10/23 00:00:26;2009/10/23 05:00:30;-28.47;0;0;1.50422;1.5146;-17.9;Loss;5;33333337;;-0.00185;0.00033;example
Closed position;71985818;EURGBP;0.16;Sell;0.91125;0.91077;2009/10/26 22:57:30;2009/10/26 23:57:33;12.54;0;0;0.90625;0.92354;4.8;Win;1;77777773;;-0.00004;0.00092;example
Closed position;71992974;USDCHF;0.24;Sell;1.01896;1.01889;2009/10/26 23:57:42;2009/10/27 01:00:02;1.65;-0.19;0;1.01396;1.02236;0.7;Win;1.04;77777773;;-0.00032;0.00059;example
Closed position;71993124;EURCHF;0.16;Sell;1.51453;1.51424;2009/10/26 23:57:47;2009/10/27 01:00:02;4.56;-0.2;0;1.50853;1.51887;2.9;Win;1.04;33333337;;-0.00029;0.00049;example
Closed position;71996585;EURGBP;0.16;Sell;0.91139;0.91138;2009/10/27 00:11:21;2009/10/27 01:18:01;0.26;0;0;0.90639;0.9236;0.1;Win;1.11;77777773;;-0.00045;0.00175;example
Closed position;71992908;USDCHF;0.24;Sell;1.01888;1.01802;2009/10/26 23:57:39;2009/10/27 01:38:56;20.27;-0.19;0;1.01288;1.02528;8.6;Win;1.69;33333337;;-0.00105;0.00106;example
Closed position;72214729;EURUSD;0.16;Sell;1.48091;1.48063;2009/10/27 22:11:24;2009/10/27 23:50:56;4.48;0;0;1.47591;1.49277;2.8;Win;1.66;77777773;;-0.00069;0.00102;example
Closed position;72213583;EURGBP;0.16;Sell;0.90415;0.90414;2009/10/27 22:03:29;2009/10/28 00:10:49;0.27;0.1;0;0.89915;0.91359;0.1;Win;2.12;77777773;;-0.00036;0.00078;example
Closed position;72449412;EURGBP;0.16;Buy;0.89751;0.89815;2009/10/28 23:24:36;2009/10/28 23:32:19;16.78;0;0;0.90251;0.89323;6.4;Win;0.13;77777773;;0;0;example
Closed position;72446915;EURUSD;0.16;Sell;1.47221;1.47172;2009/10/28 22:57:56;2009/10/29 00:00:01;7.84;-0.24;0;1.46721;1.48414;4.9;Win;1.03;77777773;;-0.00038;0.00077;example
Closed position;72449065;EURGBP;0.16;Buy;0.89769;0.8983;2009/10/28 23:24:28;2009/10/29 00:35:33;15.99;-0.39;0;0.90369;0.89148;6.1;Win;1.18;33333337;;-0.00007;0.00094;example
Closed position;72452772;EURCHF;0.16;Sell;1.51074;1.51037;2009/10/29 00:02:18;2009/10/29 01:38:20;5.77;0;0;1.50474;1.51506;3.7;Win;1.6;33333337;;-0.00031;0.00064;example
Closed position;72458315;EURGBP;0.16;Sell;0.89863;0.89857;2009/10/29 00:57:19;2009/10/29 02:01:49;1.57;0;0;0.89363;0.90686;0.6;Win;1.08;77777773;;-0.00052;0.0007;example
Closed position;73115861;EURGBP;0.16;Buy;0.89995;0.90059;2009/11/02 23:02:36;2009/11/02 23:26:16;16.79;0;0;0.90495;0.8951;6.4;Win;0.39;77777773;;0;0;example
Closed position;73115691;EURGBP;0.16;Buy;0.90029;0.90095;2009/11/02 23:02:26;2009/11/03 00:04:33;17.31;-0.16;0;0.90629;0.89387;6.6;Win;1.04;33333337;;-0.00004;0.00114;example
Closed position;73116742;USDCHF;0.24;Sell;1.02238;1.02154;2009/11/02 23:09:20;2009/11/03 01:05:01;19.73;-0.16;0;1.01638;1.02878;8.4;Win;1.93;33333337;;-0.00011;0.00285;example
Closed position;73121445;EURGBP;0.16;Sell;0.90098;0.90269;2009/11/03 00:04:46;2009/11/03 03:04:48;-44.87;0;0;0.89598;0.90524;-17.1;Loss;3;77777773;;-0.00218;0.00001;example
Closed position;73117440;EURCHF;0.16;Sell;1.50966;1.51043;2009/11/02 23:19:07;2009/11/03 04:19:10;-12.07;-0.19;0;1.50366;1.51394;-7.7;Loss;5;33333337;;-0.00084;0.00028;example
Closed position;73379076;EURUSD;0.16;Sell;1.47229;1.47168;2009/11/03 22:33:58;2009/11/03 23:39:10;9.76;0;0;1.46729;1.48111;6.1;Win;1.09;77777773;;-0.00106;0.00071;example
Closed position;73375264;EURGBP;0.16;Buy;0.89586;0.89587;2009/11/03 22:03:03;2009/11/03 23:39:26;0.26;0;0;0.90086;0.89166;0.1;Win;1.61;77777773;;-0.00087;0.00029;example
Closed position;73384440;EURGBP;0.16;Buy;0.89543;0.89603;2009/11/03 23:03:27;2009/11/03 23:39:53;15.76;0;0;0.90143;0.88901;6.0;Win;0.61;33333337;;0;0;example
Closed position;73390600;EURGBP;0.16;Sell;0.8963;0.89629;2009/11/04 00:02:15;2009/11/04 01:54:22;0.26;0;0;0.8913;0.90612;0.1;Win;1.87;77777773;;-0.00073;0.00018;example
Closed position;73393331;EURCHF;0.16;Sell;1.51049;1.51138;2009/11/04 00:29:35;2009/11/04 05:29:36;-13.89;0;0;1.50449;1.51481;-8.9;Loss;5;33333337;;-0.00137;0.00001;example
Closed position;73611164;EURGBP;0.16;Sell;0.89803;0.89802;2009/11/04 22:09:07;2009/11/05 00:20:10;0.26;0.32;0;0.89303;0.90228;0.1;Win;2.18;77777773;;-0.00062;0.00068;example
Closed position;73619810;EURGBP;0.16;Sell;0.89847;0.89787;2009/11/04 23:19:31;2009/11/05 00:30:03;15.9;0.32;0;0.89247;0.9048;6.0;Win;1.18;33333337;;-0.00004;0.00112;example
Closed position;73819303;EURGBP;0.16;Sell;0.89738;0.89734;2009/11/06 00:41:30;2009/11/06 01:43:49;1.06;0;0;0.89238;0.9016;0.4;Win;1.04;77777773;;-0.00042;0.00092;example
Closed position;73820234;EURCHF;0.16;Sell;1.51141;1.51139;2009/11/06 00:55:13;2009/11/06 02:55:15;0.31;0;0;1.50541;1.5157;0.2;Win;2;33333337;;-0.00069;0.00019;example
Closed position;74230888;USDCHF;0.24;Sell;1.0082;1.00748;2009/11/09 23:36:05;2009/11/10 00:17:41;17.15;-0.14;0;1.0022;1.01452;7.2;Win;0.69;33333337;;-0.00011;0.00133;example
Closed position;74230020;EURUSD;0.16;Sell;1.50005;1.49954;2009/11/09 23:17:25;2009/11/10 01:38:22;8.16;-0.06;0;1.49405;1.50331;5.1;Win;2.35;33333337;;-0.00125;0.00137;example
Closed position;74237127;EURCHF;0.16;Sell;1.51158;1.51172;2009/11/10 00:33:03;2009/11/10 05:33:09;-2.22;0;0;1.50558;1.51586;-1.4;Loss;5;33333337;;-0.00027;0.00011;example
Closed position;74423371;EURCHF;0.16;Sell;1.51037;1.51034;2009/11/10 23:00:05;2009/11/11 00:02:54;0.48;-0.21;0;1.50437;1.51466;0.3;Win;1.05;33333337;;-0.00025;0.00025;example
Closed position;74430037;EURCHF;0.16;Sell;1.51046;1.51026;2009/11/11 00:22:38;2009/11/11 02:01:22;3.18;0;0;1.50446;1.51477;2.0;Win;1.65;33333337;;-0.00019;0.00041;example
Closed position;74629466;EURCHF;0.16;Sell;1.5103;1.5107;2009/11/12 00:06:47;2009/11/12 05:12:02;-6.35;0;0;1.5043;1.5146;-4;Loss;5.09;33333337;;-0.00055;-0.00009;example
Closed position;74845721;EURGBP;0.16;Buy;0.89505;0.89535;2009/11/12 22:01:04;2009/11/12 23:01:08;7.96;0;0;0.90005;0.89085;3.0;Win;1;77777773;;-0.00045;0.00061;example
Closed position;74852840;EURGBP;0.16;Sell;0.89552;0.89491;2009/11/12 22:55:48;2009/11/12 23:34:50;16.18;0;0;0.89052;0.90652;6.1;Win;0.65;77777773;;-0.00018;0.00088;example
Closed position;74857187;USDCHF;0.24;Sell;1.01797;1.0171;2009/11/12 23:24:32;2009/11/13 00:31:01;20.53;-0.19;0;1.01197;1.02423;8.7;Win;1.11;33333337;;-0.00011;0.00134;example
Closed position;74855844;EURCHF;0.16;Sell;1.51078;1.51094;2009/11/12 23:13:39;2009/11/13 04:13:44;-2.52;-0.2;0;1.50478;1.5151;-1.6;Loss;5;33333337;;-0.00034;0.00028;example
Closed position;75432974;USDCHF;0.24;Sell;1.00789;1.00716;2009/11/16 23:58:58;2009/11/17 00:22:06;17.4;-0.21;0;1.00189;1.0142;7.3;Win;0.39;33333337;;-0.00011;0.00134;example
Closed position;75441157;EURCHF;0.16;Sell;1.5089;1.50885;2009/11/17 00:42:10;2009/11/17 02:20:34;0.79;0;0;1.5029;1.5132;0.5;Win;1.64;33333337;;-0.00041;0.00031;example
Closed position;75716411;EURCHF;0.16;Sell;1.5113;1.51176;2009/11/18 00:00:20;2009/11/18 05:00:56;-7.25;0;0;1.5053;1.5156;-4.6;Loss;5.01;33333337;;-0.00053;-0.00009;example
Closed position;76169475;USDCHF;0.24;Sell;1.0136;1.01315;2009/11/19 23:50:26;2009/11/20 01:11:36;10.66;-0.19;0;1.0076;1.0199;4.5;Win;1.35;33333337;;-0.00031;0.00129;example
Closed position;76169629;EURCHF;0.16;Sell;1.51186;1.51185;2009/11/19 23:50:58;2009/11/20 03:32:29;0.16;-0.27;0;1.50586;1.51616;0.1;Loss;3.69;33333337;;-0.00063;0.00033;example
